source,target,osmid,lanes,name,highway,length
75618029,6646826309,9965723,2,Phố Tràng Tiền,secondary,15.408
75618029,8184202960,605230289,3,Phố Ngô Quyền,tertiary,16.703
75618029,6646826310,1223365201,3,Phố Ngô Quyền,tertiary,15.069
75618029,6646826311,1223365293,2,Phố Tràng Tiền,secondary,15.221
81817652,6648055354,965634323,2,,secondary,5.328
81817652,8324080738,29046480,,Phố Cổ Tân,residential,58.319
81817652,4902374737,943964872,2,,secondary,16.168
84799736,10142638810,211898685,1,,primary_link,17.509
84799736,84799740,838062935,2,Đường Trần Khánh Dư,primary,323.005
84799736,10142638734,838062935,2,Đường Trần Khánh Dư,primary,102.224
84799740,438042805,838062935,2,Đường Trần Khánh Dư,primary,47.981
84799740,84799736,838062935,2,Đường Trần Khánh Dư,primary,323.005
84799740,10142638778,211897425,1,,primary_link,77.94800000000001
84799740,309653586,702910582,,Phố Cầu Đất,residential,24.767000000000003
84799897,7821910479,838062938,4,Đường Trần Khánh Dư,primary,51.4
84799897,10142638810,211898685,1,,primary_link,139.42899999999997
84799897,10142638747,838062938,4,Đường Trần Khánh Dư,primary,113.321
98009137,8176640954,399561785,2,Phố Hai Bà Trưng,tertiary,157.638
98010040,8178544891,764854185,3,Phố Hàng Bài,secondary,15.346
98010040,6689685037,1223385256,2,Phố Hai Bà Trưng,tertiary,16.391
98010040,6689685038,1223385257,3,Phố Hàng Bài,secondary,15.857
98010040,8176640954,399561785,2,Phố Hai Bà Trưng,tertiary,17.654
98010042,6684786556,605230289,3,Phố Ngô Quyền,tertiary,12.505
98010042,6684786558,769798547,2,Phố Hai Bà Trưng,tertiary,18.56
98010042,8184202934,769798548,3,Phố Ngô Quyền,tertiary,21.302
98010042,11379754649,1223385256,2,Phố Hai Bà Trưng,tertiary,20.727
98010334,6689686493,769798548,3,Phố Ngô Quyền,tertiary,16.029
98010334,8184202898,769798549,3,Phố Ngô Quyền,tertiary,21.571
98010334,6689686492,953227390,2,Phố Lý Thường Kiệt,tertiary,16.591
98010334,6689686491,953227392,2,Phố Lý Thường Kiệt,tertiary,15.53
98010335,6662289398,769798549,3,Phố Ngô Quyền,tertiary,12.915
98010335,6662289397,838508585,2,Phố Trần Hưng Đạo,secondary,16.581
98010335,8184202876,943964887,3,Phố Ngô Quyền,tertiary,24.957
98010335,6662289399,943964888,2,Phố Trần Hưng Đạo,secondary,16.3
98010336,6689473460,28103280,2,Phố Hàm Long,residential,17.538
