osmid,y,x,highway
75618029,21.0249186,105.8551489,
81817652,21.0244868,105.8571509,
84799736,21.0212542,105.8617074,
84799740,21.0240266,105.8607784,
84799897,21.02144,105.8613706,
98009137,21.0246815,105.8513125,
98010040,21.0242048,105.8529221,
98010042,21.0236852,105.854762,
98010334,21.0222221,105.8542857,
98010335,21.0205574,105.8537007,
98010336,21.0191659,105.8532227,
98010926,21.0199953,105.8555751,
98012399,21.0216867,105.8561315,
98014765,21.0209829,105.8522331,
102985443,21.0254689,105.8580356,
102985688,21.0231316,105.856595,
102986558,21.0183662,105.855011,traffic_signals
102987953,21.0194298,105.8616114,
102987955,21.0187569,105.8617657,crossing
102987956,21.0185353,105.8618095,
102987957,21.0185168,105.8617083,crossing
102987961,21.019044,105.8587079,
102987962,21.0203807,105.8616231,
102989115,21.0211556,105.8580477,
102989116,21.0227961,105.8574888,
102989711,21.0186561,105.8566591,
102989712,21.0195874,105.8569516,
102989719,21.0212525,105.857519,
102990398,21.0206242,105.8499702,
103001099,21.0143557,105.8572754,traffic_signals
271745504,21.0290628,105.8569206,
308717223,21.0220815,105.8577393,
308717227,21.0145685,105.8583968,
309597639,21.0253813,105.8553106,
309597640,21.0256553,105.8545573,
309653586,21.024245,105.8607704,
309653587,21.023744,105.8605226,
317367071,21.0251189,105.8544006,
317968648,21.0246894,105.8582694,
317968654,21.0232377,105.8594621,
317968666,21.0185725,105.8588143,
317968674,21.0135821,105.8599559,
319490478,21.0251228,105.8566833,
319490480,21.0231601,105.8591567,
319490483,21.0169388,105.8583461,
320410353,21.0292059,105.8578159,
320410406,21.0251159,105.8603997,
320410409,21.0185804,105.8622191,
320410412,21.0148756,105.8630931,
438042805,21.0244154,105.8605779,
438042806,21.024606,105.8602148,
438042808,21.0252009,105.8597901,traffic_signals
442601282,21.0184309,105.8612821,
443033372,21.025803,105.8617471,
445371170,21.0186077,105.8603005,
445371197,21.0249399,105.8592416,
975689707,21.0320441,105.8583561,
993037624,21.0244415,105.8572579,
993037639,21.0242032,105.8570202,
993037677,21.024727,105.8582582,
993037757,21.0244033,105.8569747,
995292117,21.0140766,105.8627968,
1813639973,21.0269885,105.8561178,
1819499860,21.0217774,105.8541309,
1819499861,21.0222055,105.8525018,
2218334196,21.0198171,105.86192,
2218568787,21.0191961,105.8606832,
2218590775,21.018705,105.8587792,
2218590791,21.0180301,105.8585242,
2302089248,21.0244799,105.857338,
2302089256,21.024877,105.8589742,
2302090839,21.0220754,105.853014,
2302090853,21.0216606,105.8528826,
2474695878,21.0185395,105.8620274,
4022961193,21.0220222,105.8549677,
4022961194,21.0234704,105.8554846,
4022961195,21.0247091,105.8559027,
4022966514,21.0241903,105.8557293,
4022966515,21.0238913,105.8568599,
4022968801,21.0209599,105.8601515,
4022981145,21.0229655,105.8584128,
4023430927,21.0194452,105.8526233,crossing
4023430929,21.0207175,105.8531422,
4902374735,21.0240516,105.8572075,
4902374737,21.0244432,105.8570073,
4902374741,21.0246689,105.8568489,crossing
5704353648,21.0238189,105.851994,
5704353664,21.0227522,105.8552376,
5704353665,21.0229581,105.854526,
