osmid,y,x,highway
75618029,21.0249186,105.8551489,
81817652,21.0244868,105.8571509,
84799736,21.0212542,105.8617074,
84799740,21.0240266,105.8607784,
84799897,21.02144,105.8613706,
98009137,21.0246815,105.8513125,
98010040,21.0242048,105.8529221,
98010042,21.0236852,105.854762,
98010334,21.0222221,105.8542857,
98010335,21.0205574,105.8537007,
98010336,21.0191659,105.8532227,
98010926,21.0199953,105.8555751,
98012399,21.0216867,105.8561315,
98014765,21.0209829,105.8522331,
102985443,21.0254689,105.8580356,
102985688,21.0231316,105.856595,
102986558,21.0183662,105.855011,traffic_signals
102987953,21.0194298,105.8616114,
102987955,21.0187569,105.8617657,crossing
102987956,21.0185353,105.8618095,
102987957,21.0185168,105.8617083,crossing
102987961,21.019044,105.8587079,
102987962,21.0203807,105.8616231,
102989115,21.0211556,105.8580477,
102989116,21.0227961,105.8574888,
102989711,21.0186561,105.8566591,
102989712,21.0195874,105.8569516,
102989719,21.0212525,105.857519,
102990398,21.0206242,105.8499702,
103001099,21.0143557,105.8572754,traffic_signals
271745504,21.0290628,105.8569206,
308717223,21.0220815,105.8577393,
308717227,21.0145685,105.8583968,
309597639,21.0253813,105.8553106,
309597640,21.0256553,105.8545573,
309653586,21.024245,105.8607704,
309653587,21.023744,105.8605226,
317367071,21.0251189,105.8544006,
317968648,21.0246894,105.8582694,
317968654,21.0232377,105.8594621,
317968666,21.0185725,105.8588143,
317968674,21.0135821,105.8599559,
319490478,21.0251228,105.8566833,
319490480,21.0231601,105.8591567,
319490483,21.0169388,105.8583461,
320410353,21.0292059,105.8578159,
320410406,21.0251159,105.8603997,
320410409,21.0185804,105.8622191,
320410412,21.0148756,105.8630931,
438042805,21.0244154,105.8605779,
438042806,21.024606,105.8602148,
438042808,21.0252009,105.8597901,traffic_signals
442030367,21.0217552,105.8563856,
442601282,21.0184309,105.8612821,
443033372,21.025803,105.8617471,
445366811,21.0240706,105.8574015,
445366816,21.0243682,105.8574911,
445371170,21.0186077,105.8603005,
445371191,21.023351,105.8595007,
445371192,21.0236521,105.8604651,
445371197,21.0249399,105.8592416,
445373568,21.0251506,105.8555593,
445373569,21.0251926,105.8554081,
445373570,21.0259973,105.8556649,
445373571,21.0257983,105.8563685,
445373572,21.0256748,105.8562261,
445373573,21.0258408,105.8557793,
721906714,21.0202197,105.8543053,
724829000,21.0249454,105.855385,
724829003,21.0223429,105.8578593,
724829007,21.0236622,105.854986,
724829009,21.0241061,105.8573675,
724829033,21.0242143,105.8531695,
724829036,21.024945,105.8602639,
724829052,21.0192496,105.8577865,
724829102,21.0234632,105.8556854,
724829130,21.0249632,105.8602463,
724829146,21.0187012,105.8573055,
724829181,21.0240281,105.8537552,
724829184,21.0201934,105.8538186,
724829188,21.0249901,105.8553356,
724829246,21.02125,105.8562165,
724829247,21.0219815,105.855149,
724829273,21.0241658,105.8533136,
724829275,21.0240271,105.8537537,
724829281,21.0249207,105.8554439,
724829284,21.0198179,105.8564847,
724829299,21.0251891,105.8594834,
724829340,21.0247276,105.855546,
724829354,21.024031,105.8537543,
724829366,21.0241693,105.8533144,
